year;qrt;region;area_type;tran_count;area_total;area_mean;eur_total;eur_min;eur_max;em_min;em_max;em_median;em_mean;em_sd
2003;3;Haabersti linnaosa;30-40,99;30;1 004,90;33,50;596 487;7 669;25 565;244,25;730,70;611,93;592,79;93,98
2003;3;Haabersti linnaosa;41-54,99;38;1 893,80;49,84;997 649;9 639;33 873;194,33;670,76;546,14;526,61;100,85
2003;3;Haabersti linnaosa;55-69,99;41;2 686,20;65,52;1 443 817;9 587;76 939;146,81;1 236,96;527,67;538,25;163,78
2003;3;Haabersti linnaosa;70-249,99;10;888,70;88,87;535 132;25 565;101 620;324,42;839,14;545,49;582,57;155,89
2003;3;Kesklinna linnaosa;10-29,99;19;421,70;22,19;342 422;6 391;51 768;324,42;2 753,64;826,93;824,10;523,89
2003;3;Kesklinna linnaosa;30-40,99;38;1 381,58;36,36;974 759;4 154;44 738;114,13;1 133,13;689,80;699,28;213,52
2003;3;Kesklinna linnaosa;41-54,99;55;2 623,20;47,69;2 294 411;4 474;76 004;107,29;1 508,01;865,15;872,45;298,69
2003;3;Kesklinna linnaosa;55-69,99;53;3 276,70;61,82;3 173 046;4 474;141 245;76,87;2 369,88;929,40;966,82;435,50
2003;3;Kesklinna linnaosa;70-249,99;70;6 944,40;99,21;7 384 792;9 587;402 643;61,22;2 898,32;966,59;1 034,37;475,78
2003;3;Kristiine linnaosa;10-29,99;8;220,30;27,54;136 132;9 587;25 884;321,70;892,56;626,15;613,23;186,29
2003;3;Kristiine linnaosa;30-40,99;24;875,10;36,46;552 746;7 068;35 791;184,07;1 011,03;633,61;632,38;177,11
2003;3;Kristiine linnaosa;41-54,99;53;2 541,90;47,96;1 605 891;3 835;46 016;78,26;888,46;681,52;629,59;186,86
2003;3;Kristiine linnaosa;55-69,99;26;1 566,80;60,26;1 089 451;28 441;55 603;478,85;882,25;722,57;697,35;116,45
2003;3;Kristiine linnaosa;70-249,99;16;1 747,50;109,22;1 062 151;36 749;94 548;434,60;797,89;703,99;655,23;128,48
2003;3;Lasnamäe linnaosa;10-29,99;8;211,90;26,49;113 763;7 669;17 895;289,41;716,50;590,99;542,42;159,67
2003;3;Lasnamäe linnaosa;30-40,99;110;3 704,70;33,68;1 903 385;328;26 204;9,98;693,84;550,45;515,22;126,53
2003;3;Lasnamäe linnaosa;41-54,99;114;5 576,80;48,92;2 624 173;1 219;33 873;27,37;692,50;489,35;470,37;116,74
2003;3;Lasnamäe linnaosa;55-69,99;112;7 219,70;64,46;3 048 778;3 931;50 810;60,58;739,72;439,27;421,03;137,40
2003;3;Lasnamäe linnaosa;70-249,99;18;1 459,80;81,10;586 467;14 061;44 738;175,54;526,38;410,24;402,78;91,85
2003;3;Mustamäe linnaosa;10-29,99;19;558,80;29,41;313 504;8 134;20 771;272,96;717,33;602,53;559,28;134,65
2003;3;Mustamäe linnaosa;30-40,99;22;742,10;33,73;475 183;10 865;31 317;344,92;943,93;630,63;640,59;135,74
2003;3;Mustamäe linnaosa;41-54,99;146;6 566,90;44,98;3 607 509;4 259;44 099;97,23;886,05;546,57;549,23;135,46
2003;3;Mustamäe linnaosa;55-69,99;81;4 995,80;61,68;2 817 798;3 196;61 355;55,58;931,43;547,81;561,82;160,31
2003;3;Mustamäe linnaosa;70-249,99;14;1 167,10;83,36;812 639;39 945;93 311;532,60;974,02;638,24;689,48;140,23
2003;3;Nõmme linnaosa;10-29,99;7;179,40;25,63;115 361;13 741;19 173;550,55;769,31;642,10;647,53;72,64
2003;3;Nõmme linnaosa;30-40,99;8;291,90;36,49;204 837;15 658;35 471;467,86;955,20;682,58;698,04;205,28
2003;3;Nõmme linnaosa;41-54,99;16;783,40;48,96;470 524;14 380;62 633;273,39;1 250,17;588,10;600,88;218,20
2003;3;Nõmme linnaosa;55-69,99;15;943,80;62,92;634 004;14 061;63 273;222,48;934,60;701,35;670,29;200,12
2003;3;Nõmme linnaosa;70-249,99;6;728,20;121,37;466 555;22 369;127 823;230,13;1 030,83;634,88;621,18;277,13
2003;3;Pirita linnaosa;41-54,99;7;348,40;49,77;343 429;42 054;55 603;925,93;1 033,52;999,20;984,68;39,77
2003;3;Pirita linnaosa;55-69,99;5;318,90;63,78;304 745;51 369;70 774;798,90;1 136,44;912,92;955,20;135,59
2003;3;Pirita linnaosa;70-249,99;28;2 867,10;102,40;2 549 934;55 884;193 716;676,97;1 114,22;866,50;889,32;125,24
2003;3;Põhja-Tallinna linnaosa;10-29,99;20;484,50;24,23;246 960;1 470;21 091;58,33;826,72;526,61;512,85;233,28
2003;3;Põhja-Tallinna linnaosa;30-40,99;41;1 518,70;37,04;720 329;1 278;30 678;32,36;763,12;510,04;473,14;172,41
2003;3;Põhja-Tallinna linnaosa;41-54,99;54;2 509,50;46,47;1 299 542;5 113;85 002;111,64;1 562,55;525,39;515,12;225,96
2003;3;Põhja-Tallinna linnaosa;55-69,99;26;1 595,50;61,37;887 518;4 753;85 642;79,21;1 486,32;549,24;555,38;303,12
2003;3;Põhja-Tallinna linnaosa;70-249,99;13;1 018,70;78,36;397 594;9 587;48 573;117,20;650,24;392,36;392,44;180,22
2003;4;Haabersti linnaosa;10-29,99;3;73,80;24,60;***;***;***;***;***;***;***;***
2003;4;Haabersti linnaosa;30-40,99;49;1 624,20;33,15;1 064 576;17 256;35 151;510,22;913,02;646,84;655,06;64,49
2003;4;Haabersti linnaosa;41-54,99;77;3 805,10;49,42;2 319 270;4 474;49 276;93,79;979,07;594,82;608,95;176,76
2003;4;Haabersti linnaosa;55-69,99;90;5 809,40;64,55;3 610 921;12 782;77 314;191,64;1 258,23;564,79;628,07;229,65
2003;4;Haabersti linnaosa;70-249,99;41;3 704,30;90,35;***;***;***;***;***;***;***;***
2003;4;Kesklinna linnaosa;10-29,99;26;615,62;23,68;476 148;8 309;35 791;355,06;1 763,08;741,64;779,70;282,81
2003;4;Kesklinna linnaosa;30-40,99;82;2 980,70;36,35;2 356 463;6 615;67 107;183,75;1 985,78;789,21;791,07;282,46
2003;4;Kesklinna linnaosa;41-54,99;105;5 069,90;48,28;4 094 850;6 391;134 214;152,53;2 518,09;809,63;802,17;313,26
2003;4;Kesklinna linnaosa;55-69,99;91;5 569,50;61,20;4 868 921;15 978;127 823;244,68;2 148,29;908,22;875,89;284,69
2003;4;Kesklinna linnaosa;70-249,99;123;11 884,70;96,62;11 978 808;12 782;338 732;150,20;3 061,69;961,78;1 004,01;470,02
2003;4;Kristiine linnaosa;10-29,99;11;312,80;28,44;207 393;12 782;23 328;427,50;785,45;680,85;665,86;107,64
2003;4;Kristiine linnaosa;30-40,99;61;2 244,40;36,79;1 577 030;15 339;35 151;468,46;992,98;729,96;701,29;113,04
2003;4;Kristiine linnaosa;41-54,99;84;3 877,10;46,16;2 644 619;9 944;47 934;218,56;1 130,51;716,75;684,60;156,21
2003;4;Kristiine linnaosa;55-69,99;36;2 212,00;61,44;1 420 551;28 760;54 951;466,13;867,67;639,66;642,58;102,73
2003;4;Kristiine linnaosa;70-249,99;14;1 370,80;97,91;936 587;38 347;121 432;447,14;1 001,34;773,11;725,39;144,88
2003;4;Lasnamäe linnaosa;10-29,99;17;397,70;23,39;236 729;4 793;23 008;379,89;1 150,41;542,01;599,06;185,71
2003;4;Lasnamäe linnaosa;30-40,99;217;7 265,40;33,48;4 053 925;639;31 956;19,43;834,36;582,78;557,98;117,42
2003;4;Lasnamäe linnaosa;41-54,99;236;11 565,80;49,01;6 322 614;3 835;64 359;77,94;1 214,32;531,55;543,30;185,19
2003;4;Lasnamäe linnaosa;55-69,99;243;15 655,60;64,43;7 173 293;3 196;60 716;53,71;874,87;464,27;457,87;108,95
2003;4;Lasnamäe linnaosa;70-249,99;84;7 330,70;87,27;4 673 844;3 329;232 191;43,46;1 230,90;470,12;607,47;302,30
2003;4;Mustamäe linnaosa;10-29,99;17;496,95;29,23;285 024;959;23 488;32,06;785,54;662,63;566,88;230,62
2003;4;Mustamäe linnaosa;30-40,99;20;654,80;32,74;408 788;11 258;26 204;375,25;861,97;626,21;623,14;100,86
2003;4;Mustamäe linnaosa;41-54,99;188;8 412,80;44,75;4 699 828;1 598;63 273;36,65;1 354,87;579,30;558,21;144,64
2003;4;Mustamäe linnaosa;55-69,99;115;7 085,60;61,61;3 897 179;4 474;329 145;73,46;5 898,66;525,52;553,74;524,41
2003;4;Mustamäe linnaosa;70-249,99;8;672,30;84,04;324 416;22 241;55 603;313,75;600,51;510,28;471,90;129,18
2003;4;Nõmme linnaosa;10-29,99;16;400,30;25,02;216 341;3 835;18 854;219,13;736,31;584,53;539,72;163,44
2003;4;Nõmme linnaosa;30-40,99;14;485,80;34,70;289 948;13 421;31 317;328,15;784,88;648,37;596,17;123,72
2003;4;Nõmme linnaosa;41-54,99;22;1 026,60;46,66;634 323;12 463;43 460;262,37;925,76;602,90;619,27;170,01
2003;4;Nõmme linnaosa;55-69,99;14;872,60;62,33;564 263;26 523;67 107;446,37;1 056,81;655,52;645,82;173,23
2003;4;Nõmme linnaosa;70-249,99;20;1 812,00;90,60;1 211 355;28 760;97 018;289,14;911,85;734,82;668,49;177,05
2003;4;Pirita linnaosa;30-40,99;3;113,50;37,83;***;***;***;***;***;***;***;***
2003;4;Pirita linnaosa;41-54,99;11;559,40;50,85;***;***;***;***;***;***;***;***
2003;4;Pirita linnaosa;55-69,99;15;935,40;62,36;874 122;20 260;105 454;329,43;1 815,05;879,24;939,51;303,26
2003;4;Pirita linnaosa;70-249,99;33;3 228,20;97,82;3 138 971;51 129;171 545;570,64;1 414,71;997,01;971,48;189,82
2003;4;Põhja-Tallinna linnaosa;10-29,99;68;1 688,55;24,83;971 281;2 237;53 111;102,14;2 011,76;559,10;571,76;252,85
2003;4;Põhja-Tallinna linnaosa;30-40,99;89;3 212,70;36,10;1 717 931;5 624;33 554;167,21;862,56;546,99;532,95;137,71
2003;4;Põhja-Tallinna linnaosa;41-54,99;98;4 617,80;47,12;2 300 323;3 196;60 716;69,17;1 386,21;510,88;497,05;192,16
2003;4;Põhja-Tallinna linnaosa;55-69,99;35;2 108,60;60,25;1 151 647;6 391;86 920;105,12;1 461,99;513,86;541,37;282,51
2003;4;Põhja-Tallinna linnaosa;70-249,99;27;2 339,70;86,66;1 545 696;10 226;125 522;104,77;1 251,47;647,01;670,17;263,56
2004;1;Haabersti linnaosa;10-29,99;1;28,40;28,40;***;***;***;***;***;***;***;***
2004;1;Haabersti linnaosa;30-40,99;35;1 164,10;33,26;***;***;***;***;***;***;***;***
2004;1;Haabersti linnaosa;41-54,99;67;3 375,30;50,38;2 134 757;895;153 651;18,84;3 129,35;621,00;632,29;356,45
2004;1;Haabersti linnaosa;55-69,99;78;5 003,10;64,14;3 269 222;5 113;79 762;79,76;1 387,16;615,57;660,39;230,68
2004;1;Haabersti linnaosa;70-249,99;36;3 174,20;88,17;2 722 493;35 151;141 769;177,20;1 242,71;965,82;884,40;260,20
2004;1;Kesklinna linnaosa;10-29,99;28;693,90;24,78;674 920;6 072;58 799;337,31;3 769,15;786,71;996,43;724,76
2004;1;Kesklinna linnaosa;30-40,99;64;2 282,00;35,66;2 016 094;5 305;90 435;161,73;2 386,15;831,64;878,89;384,53
