"qtr_year";"region";"total_count";"region_area";"population";"tran_p_ha";"tran_p_pop"
2003-07-01;"Astangu";13;207;3344;0,0628019323671498;0,00388755980861244
2003-07-01;"Haabersti";2;97;822;0,0206185567010309;0,0024330900243309
2003-07-01;"Hiiu";6;263;3970;0,0228136882129278;0,00151133501259446
2003-07-01;"Järve";14;105;2957;0,133333333333333;0,00473452823807913
2003-07-01;"Juhkentali";2;130;1374;0,0153846153846154;0,00145560407569141
2003-07-01;"Kadaka";5;281;3791;0,0177935943060498;0,00131891321551042
2003-07-01;"Kadriorg";16;256;5010;0,0625;0,0031936127744511
2003-07-01;"Kalamaja";20;210;10756;0,0952380952380952;0,00185942729639271
2003-07-01;"Karjamaa";22;97;5240;0,22680412371134;0,00419847328244275
2003-07-01;"Kassisaba";18;45;4766;0,4;0,00377675199328577
2003-07-01;"Katleri";4;38;5133;0,105263157894737;0,000779271381258523
2003-07-01;"Keldrimäe";17;35;5268;0,485714285714286;0,00322703113135915
2003-07-01;"Kelmiküla";3;21;1266;0,142857142857143;0,0023696682464455
2003-07-01;"Kitseküla";8;140;4250;0,0571428571428571;0,00188235294117647
2003-07-01;"Kivimäe";4;222;4809;0,018018018018018;0,00083177375753795
2003-07-01;"Kompassi";11;16;1982;0,6875;0,00554994954591322
2003-07-01;"Kopli";7;282;7082;0,024822695035461;0,000988421349901158
2003-07-01;"Kose";12;346;3337;0,0346820809248555;0,00359604435121366
2003-07-01;"Kurepõllu";7;68;3890;0,102941176470588;0,00179948586118252
2003-07-01;"Kuristiku";32;84;11103;0,380952380952381;0,00288210393587319
2003-07-01;"Laagna";90;136;24093;0,661764705882353;0,00373552484124019
2003-07-01;"Laagri";1;41;906;0,024390243902439;0,0011037527593819
2003-07-01;"Lepiku";4;162;1565;0,0246913580246914;0,00255591054313099
2003-07-01;"Lilleküla";106;546;26051;0,194139194139194;0,00406894169129784
2003-07-01;"Maakri";25;13;1082;1,92307692307692;0,0231053604436229
2003-07-01;"Mähe";20;282;6509;0,0709219858156028;0,00307266861269012
2003-07-01;"Männiku";8;447;5870;0,0178970917225951;0,00136286201022147
2003-07-01;"Merivälja";3;163;3088;0,0184049079754601;0,000971502590673575
2003-07-01;"Mustakivi";74;116;20055;0,637931034482759;0,00368985290451259
2003-07-01;"Mustamäe";232;441;51293;0,526077097505669;0,00452303433217008
2003-07-01;"Mustjõe";3;179;3167;0,0167597765363128;0,000947268708556994
2003-07-01;"Nõmme";9;480;6685;0,01875;0,00134629768137622
2003-07-01;"Pääsküla";15;661;9879;0,0226928895612708;0,00151837230488916
2003-07-01;"Pae";44;58;13807;0,758620689655172;0,00318678930977041
2003-07-01;"Paljassaare";1;395;512;0,00253164556962025;0,001953125
2003-07-01;"Pelgulinn";45;238;16003;0,189075630252101;0,00281197275510842
2003-07-01;"Pelguranna";51;100;14968;0,51;0,00340726884019241
2003-07-01;"Pirita";1;173;1019;0,00578034682080925;0,00098135426889107
2003-07-01;"Priisle";15;185;11077;0,0810810810810811;0,00135415726279679
2003-07-01;"Rahumäe";6;162;3092;0,037037037037037;0,0019404915912031
2003-07-01;"Raua";22;31;6088;0,709677419354839;0,00361366622864652
2003-07-01;"Raudalu";2;180;749;0,0111111111111111;0,00267022696929239
2003-07-01;"Sääse";31;61;8981;0,508196721311475;0,00345173143302528
2003-07-01;"Sadama";7;139;3464;0,0503597122302158;0,00202078521939954
2003-07-01;"Seli";39;95;12816;0,410526315789474;0,00304307116104869
2003-07-01;"Sibulaküla";23;13;2310;1,76923076923077;0,00995670995670996
2003-07-01;"Siili";14;26;3642;0,538461538461538;0,00384404173531027
2003-07-01;"Sikupilli";50;135;11901;0,37037037037037;0,00420132761952777
2003-07-01;"Sitsi";5;45;3865;0,111111111111111;0,00129366106080207
2003-07-01;"Tatari";12;22;2449;0,545454545454545;0,00489995916700694
