qtr_year;region;total_count;region_area;tran_p_ha
1.07.2003;Astangu;13;207;0,062801932
1.07.2003;Haabersti;2;97;0,020618557
1.07.2003;Hiiu;6;263;0,022813688
1.07.2003;Järve;14;105;0,133333333
1.07.2003;Juhkentali;2;130;0,015384615
1.07.2003;Kadaka;5;281;0,017793594
1.07.2003;Kadriorg;16;256;0,0625
1.07.2003;Kalamaja;20;210;0,095238095
1.07.2003;Karjamaa;22;97;0,226804124
1.07.2003;Kassisaba;18;45;0,4
1.07.2003;Katleri;4;38;0,105263158
1.07.2003;Keldrimäe;17;35;0,485714286
1.07.2003;Kelmiküla;3;21;0,142857143
1.07.2003;Kitseküla;8;140;0,057142857
1.07.2003;Kivimäe;4;222;0,018018018
1.07.2003;Kompassi;11;16;0,6875
1.07.2003;Kopli;7;282;0,024822695
1.07.2003;Kose;12;346;0,034682081
1.07.2003;Kurepõllu;7;68;0,102941176
1.07.2003;Kuristiku;32;84;0,380952381
1.07.2003;Laagna;90;136;0,661764706
1.07.2003;Laagri;1;41;0,024390244
1.07.2003;Lepiku;4;162;0,024691358
1.07.2003;Lilleküla;106;546;0,194139194
1.07.2003;Maakri;25;13;1,923076923
1.07.2003;Mähe;20;282;0,070921986
1.07.2003;Männiku;8;447;0,017897092
1.07.2003;Merivälja;3;163;0,018404908
1.07.2003;Mustakivi;74;116;0,637931034
1.07.2003;Mustamäe;232;441;0,526077098
1.07.2003;Mustjõe;3;179;0,016759777
1.07.2003;Nõmme;9;480;0,01875
1.07.2003;Pääsküla;15;661;0,02269289
1.07.2003;Pae;44;58;0,75862069
1.07.2003;Paljassaare;1;395;0,002531646
1.07.2003;Pelgulinn;45;238;0,18907563
1.07.2003;Pelguranna;51;100;0,51
1.07.2003;Pirita;1;173;0,005780347
1.07.2003;Priisle;15;185;0,081081081
1.07.2003;Rahumäe;6;162;0,037037037
1.07.2003;Raua;22;31;0,709677419
1.07.2003;Raudalu;2;180;0,011111111
1.07.2003;Sääse;31;61;0,508196721
1.07.2003;Sadama;7;139;0,050359712
1.07.2003;Seli;39;95;0,410526316
1.07.2003;Sibulaküla;23;13;1,769230769
1.07.2003;Siili;14;26;0,538461538
1.07.2003;Sikupilli;50;135;0,37037037
1.07.2003;Sitsi;5;45;0,111111111
1.07.2003;Tatari;12;22;0,545454545
1.07.2003;Tiskre;1;139;0,007194245
1.07.2003;Tondi;7;133;0,052631579
1.07.2003;Tõnismäe;9;22;0,409090909
1.07.2003;Torupilli;8;51;0,156862745
1.07.2003;Ülemiste;6;340;0,017647059
1.07.2003;ÜlemisteJärve;1;1396;0,000716332
1.07.2003;Uus Maailm;28;65;0,430769231
1.07.2003;Uuslinn;1;22;0,045454545
1.07.2003;Väike-Õismäe;100;218;0,458715596
1.07.2003;Vana-Mustamäe;1;198;0,005050505
1.07.2003;Vanalinn;21;110;0,190909091
